file1,file2,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2,nice-coreutils_8-30_O2,full,0,-782,,no
mv-coreutils_8-30_O2.rodata,nice-coreutils_8-30_O2.rodata,rodata,0,-888,,no
mv-coreutils_8-30_O2.data,nice-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,nice-coreutils_8-30_O2.text,text,0,-694,,no
mv-coreutils_8-30_O2,cut-coreutils_8-30_O2,full,0,-571,,no
mv-coreutils_8-30_O2.rodata,cut-coreutils_8-30_O2.rodata,rodata,0,-894,,no
mv-coreutils_8-30_O2.data,cut-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,cut-coreutils_8-30_O2.text,text,0,-617,,no
mv-coreutils_8-30_O2,expand-coreutils_8-30_O2,full,0,-628,,no
mv-coreutils_8-30_O2.rodata,expand-coreutils_8-30_O2.rodata,rodata,0,-880,,no
mv-coreutils_8-30_O2.data,expand-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,expand-coreutils_8-30_O2.text,text,0,-685,,no
mv-coreutils_8-30_O2,sum-coreutils_8-30_O2,full,0,-608,,no
mv-coreutils_8-30_O2.rodata,sum-coreutils_8-30_O2.rodata,rodata,0,-971,,no
mv-coreutils_8-30_O2.data,sum-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,sum-coreutils_8-30_O2.text,text,0,-631,,no
mv-coreutils_8-30_O2,who-coreutils_8-30_O2,full,0,-451,,no
mv-coreutils_8-30_O2.rodata,who-coreutils_8-30_O2.rodata,rodata,0,-620,,no
mv-coreutils_8-30_O2.data,who-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,who-coreutils_8-30_O2.text,text,0,-434,,no
mv-coreutils_8-30_O2,printf-coreutils_8-30_O2,full,0,-448,,no
mv-coreutils_8-30_O2.rodata,printf-coreutils_8-30_O2.rodata,rodata,0,-817,,no
mv-coreutils_8-30_O2.data,printf-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,printf-coreutils_8-30_O2.text,text,0,-422,,no
mv-coreutils_8-30_O2,realpath-coreutils_8-30_O2,full,0,-620,,no
mv-coreutils_8-30_O2.rodata,realpath-coreutils_8-30_O2.rodata,rodata,0,-617,,no
mv-coreutils_8-30_O2.data,realpath-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,realpath-coreutils_8-30_O2.text,text,0,-505,,no
mv-coreutils_8-30_O2,pinky-coreutils_8-30_O2,full,0,-819,,no
mv-coreutils_8-30_O2.rodata,pinky-coreutils_8-30_O2.rodata,rodata,0,-814,,no
mv-coreutils_8-30_O2.data,pinky-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,pinky-coreutils_8-30_O2.text,text,0,-628,,no
mv-coreutils_8-30_O2,id-coreutils_8-30_O2,full,0,-557,,no
mv-coreutils_8-30_O2.rodata,id-coreutils_8-30_O2.rodata,rodata,0,-677,,no
mv-coreutils_8-30_O2.data,id-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,id-coreutils_8-30_O2.text,text,0,-645,,no
mv-coreutils_8-30_O2,base64-coreutils_8-30_O2,full,0,-622,,no
mv-coreutils_8-30_O2.rodata,base64-coreutils_8-30_O2.rodata,rodata,0,-622,,no
mv-coreutils_8-30_O2.data,base64-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,base64-coreutils_8-30_O2.text,text,0,-705,,no
mv-coreutils_8-30_O2,touch-coreutils_8-30_O2,full,0,-277,,no
mv-coreutils_8-30_O2.rodata,touch-coreutils_8-30_O2.rodata,rodata,0,-605,,no
mv-coreutils_8-30_O2.data,touch-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,touch-coreutils_8-30_O2.text,text,0,-180,,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_O2,full,0,14,,no
mv-coreutils_8-30_O2.rodata,cp-coreutils_8-30_O2.rodata,rodata,0,-308,,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_O2.text,text,0,71,,no
mv-coreutils_8-30_O2,csplit-coreutils_8-30_O2,full,0,-477,,no
mv-coreutils_8-30_O2.rodata,csplit-coreutils_8-30_O2.rodata,rodata,0,-757,,no
mv-coreutils_8-30_O2.data,csplit-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,csplit-coreutils_8-30_O2.text,text,0,-514,,no
mv-coreutils_8-30_O2,stat-coreutils_8-30_O2,full,0,-285,,no
mv-coreutils_8-30_O2.rodata,stat-coreutils_8-30_O2.rodata,rodata,0,-442,,no
mv-coreutils_8-30_O2.data,stat-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,stat-coreutils_8-30_O2.text,text,0,-271,,no
mv-coreutils_8-30_O2,numfmt-coreutils_8-30_O2,full,0,-360,,no
mv-coreutils_8-30_O2.rodata,numfmt-coreutils_8-30_O2.rodata,rodata,0,-371,,no
mv-coreutils_8-30_O2.data,numfmt-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,numfmt-coreutils_8-30_O2.text,text,0,-428,,no
mv-coreutils_8-30_O2,fmt-coreutils_8-30_O2,full,0,-631,,no
mv-coreutils_8-30_O2.rodata,fmt-coreutils_8-30_O2.rodata,rodata,0,-751,,no
mv-coreutils_8-30_O2.data,fmt-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,fmt-coreutils_8-30_O2.text,text,0,-585,,no
mv-coreutils_8-30_O2,sha1sum-coreutils_8-30_O2,full,0,-462,,no
mv-coreutils_8-30_O2.rodata,sha1sum-coreutils_8-30_O2.rodata,rodata,0,-774,,no
mv-coreutils_8-30_O2.data,sha1sum-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,sha1sum-coreutils_8-30_O2.text,text,0,-671,,no
mv-coreutils_8-30_O2,sync-coreutils_8-30_O2,full,0,-828,,no
mv-coreutils_8-30_O2.rodata,sync-coreutils_8-30_O2.rodata,rodata,0,-674,,no
mv-coreutils_8-30_O2.data,sync-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,sync-coreutils_8-30_O2.text,text,0,-808,,no
mv-coreutils_8-30_O2,env-coreutils_8-30_O2,full,0,-702,,no
mv-coreutils_8-30_O2.rodata,env-coreutils_8-30_O2.rodata,rodata,0,-537,,no
mv-coreutils_8-30_O2.data,env-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,env-coreutils_8-30_O2.text,text,0,-628,,no
mv-coreutils_8-30_O2,tail-coreutils_8-30_O2,full,0,-360,,no
mv-coreutils_8-30_O2.rodata,tail-coreutils_8-30_O2.rodata,rodata,0,-311,,no
mv-coreutils_8-30_O2.data,tail-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,tail-coreutils_8-30_O2.text,text,0,-300,,no
mv-coreutils_8-30_O2,getlimits-coreutils_8-30_O2,full,0,-757,,no
mv-coreutils_8-30_O2.rodata,getlimits-coreutils_8-30_O2.rodata,rodata,0,-760,,no
mv-coreutils_8-30_O2.data,getlimits-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,getlimits-coreutils_8-30_O2.text,text,0,-854,,no
mv-coreutils_8-30_O2,uname-coreutils_8-30_O2,full,0,-780,,no
mv-coreutils_8-30_O2.rodata,uname-coreutils_8-30_O2.rodata,rodata,0,-654,,no
mv-coreutils_8-30_O2.data,uname-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,uname-coreutils_8-30_O2.text,text,0,-734,,no
mv-coreutils_8-30_O2,stty-coreutils_8-30_O2,full,0,-337,,no
mv-coreutils_8-30_O2.rodata,stty-coreutils_8-30_O2.rodata,rodata,0,-614,,no
mv-coreutils_8-30_O2.data,stty-coreutils_8-30_O2.data,data,0,,,no
mv-coreutils_8-30_O2.text,stty-coreutils_8-30_O2.text,text,0,-337,,no
