file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
expand-coreutils_6-12_O2.data,setuidgid-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,mv-coreutils_8-30_O2.data,80,168,data,0,0,0,no
expand-coreutils_6-12_O2.data,nice-coreutils_8-30_O2.data,80,128,data,0,0,0,no
expand-coreutils_6-12_O2.data,cut-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,du-coreutils_6-12_O2.data,80,80,data,0,0,0,no
expand-coreutils_6-12_O2.data,who-coreutils_7-6_O2.data,80,80,data,0,0,0,no
expand-coreutils_6-12_O2.data,expand-coreutils_8-30_O2.data,80,160,data,0,0,0,yes
expand-coreutils_6-12_O2.data,chroot-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,nice-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,chown-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,stat-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,setuidgid-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,sum-coreutils_8-30_O2.data,80,136,data,0,0,0,no
expand-coreutils_6-12_O2.data,who-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,printf-coreutils_8-30_O2.data,80,128,data,0,0,0,no
expand-coreutils_6-12_O2.data,realpath-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,cksum-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,pinky-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,id-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,base64-coreutils_8-30_O2.data,80,128,data,0,0,0,no
expand-coreutils_6-12_O2.data,touch-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,stdbuf-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,mkdir-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,cp-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,dd-coreutils_6-12_O2.data,80,88,data,0,0,0,no
expand-coreutils_6-12_O2.data,nl-coreutils_7-6_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,csplit-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,sha256sum-coreutils_7-6_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,fmt-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,tee-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,chown-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,unlink-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,touch-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,stat-coreutils_8-30_O2.data,80,160,data,0,0,0,no
expand-coreutils_6-12_O2.data,numfmt-coreutils_8-30_O2.data,80,192,data,0,0,0,no
expand-coreutils_6-12_O2.data,split-coreutils_6-12_O2.data,80,80,data,0,0,0,no
expand-coreutils_6-12_O2.data,fmt-coreutils_8-30_O2.data,80,128,data,0,0,0,no
expand-coreutils_6-12_O2.data,runcon-coreutils_6-12_O2.data,80,336,data,0,0,0,no
expand-coreutils_6-12_O2.data,head-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,pwd-coreutils_6-12_O2.data,80,64,data,0,0,0,no
expand-coreutils_6-12_O2.data,readlink-coreutils_6-12_O2.data,80,64,data,0,0,0,no
