file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
expand-coreutils_6-12_O2,setuidgid-coreutils_6-12_O2,34936,34920,full,0,81,0,no
expand-coreutils_6-12_O2,mv-coreutils_8-30_O2,34936,121040,full,0,12,0,no
expand-coreutils_6-12_O2,nice-coreutils_8-30_O2,34936,30888,full,0,63,0,no
expand-coreutils_6-12_O2,cut-coreutils_8-30_O2,34936,39112,full,0,61,0,no
expand-coreutils_6-12_O2,du-coreutils_6-12_O2,34936,100472,full,0,23,0,no
expand-coreutils_6-12_O2,who-coreutils_7-6_O2,34936,47224,full,0,66,0,no
expand-coreutils_6-12_O2,expand-coreutils_8-30_O2,34936,35016,full,0,76,0,yes
expand-coreutils_6-12_O2,chroot-coreutils_7-6_O2,34936,30824,full,0,60,0,no
expand-coreutils_6-12_O2,nice-coreutils_7-6_O2,34936,30824,full,0,43,0,no
expand-coreutils_6-12_O2,chown-coreutils_7-6_O2,34936,59496,full,0,55,0,no
expand-coreutils_6-12_O2,stat-coreutils_6-12_O2,34936,51304,full,0,58,0,no
expand-coreutils_6-12_O2,setuidgid-coreutils_7-6_O2,34936,30824,full,0,44,0,no
expand-coreutils_6-12_O2,sum-coreutils_8-30_O2,34936,39088,full,0,71,0,no
expand-coreutils_6-12_O2,who-coreutils_8-30_O2,34936,47304,full,0,65,0,no
expand-coreutils_6-12_O2,printf-coreutils_8-30_O2,34936,47272,full,0,55,0,no
expand-coreutils_6-12_O2,realpath-coreutils_8-30_O2,34936,43208,full,0,67,0,no
expand-coreutils_6-12_O2,cksum-coreutils_7-6_O2,34936,26728,full,0,61,0,no
expand-coreutils_6-12_O2,pinky-coreutils_8-30_O2,34936,35016,full,0,57,0,no
expand-coreutils_6-12_O2,id-coreutils_8-30_O2,34936,39112,full,0,72,0,no
expand-coreutils_6-12_O2,base64-coreutils_8-30_O2,34936,39080,full,0,73,0,no
expand-coreutils_6-12_O2,touch-coreutils_8-30_O2,34936,88264,full,0,35,0,no
expand-coreutils_6-12_O2,stdbuf-coreutils_7-6_O2,34936,59496,full,0,56,0,no
expand-coreutils_6-12_O2,mkdir-coreutils_7-6_O2,34936,47208,full,0,67,0,no
expand-coreutils_6-12_O2,cp-coreutils_8-30_O2,34936,125128,full,0,15,0,no
expand-coreutils_6-12_O2,dd-coreutils_6-12_O2,34936,55424,full,0,44,0,no
expand-coreutils_6-12_O2,nl-coreutils_7-6_O2,34936,104648,full,0,25,0,no
expand-coreutils_6-12_O2,csplit-coreutils_8-30_O2,34936,47304,full,0,65,0,no
expand-coreutils_6-12_O2,sha256sum-coreutils_7-6_O2,34936,43112,full,0,50,0,no
expand-coreutils_6-12_O2,fmt-coreutils_6-12_O2,34936,39016,full,0,79,0,no
expand-coreutils_6-12_O2,tee-coreutils_6-12_O2,34936,34920,full,0,75,0,no
expand-coreutils_6-12_O2,chown-coreutils_6-12_O2,34936,59496,full,0,57,0,no
expand-coreutils_6-12_O2,unlink-coreutils_6-12_O2,34936,30824,full,0,72,0,no
expand-coreutils_6-12_O2,touch-coreutils_6-12_O2,34936,55400,full,0,51,0,no
expand-coreutils_6-12_O2,stat-coreutils_8-30_O2,34936,80072,full,0,28,0,no
expand-coreutils_6-12_O2,numfmt-coreutils_8-30_O2,34936,59624,full,0,46,0,no
expand-coreutils_6-12_O2,split-coreutils_6-12_O2,34936,59512,full,0,54,0,no
expand-coreutils_6-12_O2,fmt-coreutils_8-30_O2,34936,39080,full,0,74,0,no
expand-coreutils_6-12_O2,runcon-coreutils_6-12_O2,34936,35192,full,0,79,0,no
expand-coreutils_6-12_O2,head-coreutils_6-12_O2,34936,43112,full,0,70,0,no
expand-coreutils_6-12_O2,pwd-coreutils_6-12_O2,34936,34920,full,0,76,0,no
expand-coreutils_6-12_O2,readlink-coreutils_6-12_O2,34936,43112,full,0,63,0,no
expand-coreutils_6-12_O2,sha1sum-coreutils_8-30_O2,34936,47304,full,0,50,0,no
expand-coreutils_6-12_O2,od-coreutils_7-6_O2,34936,59512,full,0,53,0,no
expand-coreutils_6-12_O2,basename-coreutils_6-12_O2,34936,30824,full,0,67,0,no
expand-coreutils_6-12_O2,sync-coreutils_8-30_O2,34936,30888,full,0,59,0,no
expand-coreutils_6-12_O2,env-coreutils_8-30_O2,34936,34984,full,0,75,0,no
expand-coreutils_6-12_O2,rm-coreutils_6-12_O2,34936,59496,full,0,57,0,no
expand-coreutils_6-12_O2,false-coreutils_7-6_O2,34936,22632,full,0,43,0,no
expand-coreutils_6-12_O2,tail-coreutils_8-30_O2,34936,67816,full,0,46,0,no
expand-coreutils_6-12_O2,md5sum-coreutils_6-12_O2,34936,43112,full,0,72,0,no
expand-coreutils_6-12_O2,getlimits-coreutils_8-30_O2,34936,34984,full,0,63,0,no
expand-coreutils_6-12_O2,uname-coreutils_8-30_O2,34936,30920,full,0,65,0,no
expand-coreutils_6-12_O2,printenv-coreutils_7-6_O2,34936,26728,full,0,49,0,no
expand-coreutils_6-12_O2,fold-coreutils_7-6_O2,34936,30824,full,0,65,0,no
expand-coreutils_6-12_O2,md5sum-coreutils_7-6_O2,34936,34920,full,0,72,0,no
expand-coreutils_6-12_O2,comm-coreutils_7-6_O2,34936,30824,full,0,64,0,no
expand-coreutils_6-12_O2,sha224sum-coreutils_7-6_O2,34936,43112,full,0,50,0,no
expand-coreutils_6-12_O2,ls-coreutils_6-12_O2,34936,109080,full,0,23,0,no
expand-coreutils_6-12_O2,echo-coreutils_6-12_O2,34936,34920,full,0,72,0,no
expand-coreutils_6-12_O2,od-coreutils_6-12_O2,34936,55400,full,0,56,0,no
expand-coreutils_6-12_O2,paste-coreutils_7-6_O2,34936,26728,full,0,60,0,no
expand-coreutils_6-12_O2,test-coreutils_7-6_O2,34936,30824,full,0,59,0,no
expand-coreutils_6-12_O2,tsort-coreutils_6-12_O2,34936,34920,full,0,60,0,no
expand-coreutils_6-12_O2,stty-coreutils_8-30_O2,34936,71880,full,0,26,0,no
expand-coreutils_6-12_O2,chown-coreutils_8-30_O2,34936,63656,full,0,48,0,no
expand-coreutils_6-12_O2,sha224sum-coreutils_6-12_O2,34936,51304,full,0,50,0,no
expand-coreutils_6-12_O2,split-coreutils_8-30_O2,34936,51824,full,0,47,0,no
expand-coreutils_6-12_O2,unexpand-coreutils_6-12_O2,34936,34936,full,0,81,0,no
expand-coreutils_6-12_O2,basename-coreutils_8-30_O2,34936,30888,full,0,60,0,no
expand-coreutils_6-12_O2,sum-coreutils_6-12_O2,34936,39024,full,0,77,0,no
expand-coreutils_6-12_O2,printf-coreutils_6-12_O2,34936,43112,full,0,72,0,no
expand-coreutils_6-12_O2,pr-coreutils_7-6_O2,34936,59576,full,0,46,0,no
expand-coreutils_6-12_O2,id-coreutils_6-12_O2,34936,39016,full,0,79,0,no
expand-coreutils_6-12_O2,sleep-coreutils_6-12_O2,34936,34920,full,0,79,0,no
expand-coreutils_6-12_O2,wc-coreutils_8-30_O2,34936,43184,full,0,65,0,no
expand-coreutils_6-12_O2,stat-coreutils_7-6_O2,34936,47224,full,0,58,0,no
expand-coreutils_6-12_O2,join-coreutils_7-6_O2,34936,39048,full,0,73,0,no
expand-coreutils_6-12_O2,wc-coreutils_7-6_O2,34936,34920,full,0,72,0,no
expand-coreutils_6-12_O2,csplit-coreutils_6-12_O2,34936,116840,full,0,25,0,no
expand-coreutils_6-12_O2,df-coreutils_8-30_O2,34936,84760,full,0,32,0,no
expand-coreutils_6-12_O2,du-coreutils_8-30_O2,34936,100552,full,0,27,0,no
expand-coreutils_6-12_O2,who-coreutils_6-12_O2,34936,43128,full,0,69,0,no
expand-coreutils_6-12_O2,tr-coreutils_8-30_O2,34936,47272,full,0,61,0,no
expand-coreutils_6-12_O2,runcon-coreutils_7-6_O2,34936,30824,full,0,56,0,no
expand-coreutils_6-12_O2,tr-coreutils_7-6_O2,34936,43112,full,0,67,0,no
expand-coreutils_6-12_O2,unexpand-coreutils_8-30_O2,34936,35016,full,0,74,0,no
expand-coreutils_6-12_O2,mkfifo-coreutils_7-6_O2,34936,26728,full,0,62,0,no
expand-coreutils_6-12_O2,printf-coreutils_7-6_O2,34936,47208,full,0,63,0,no
expand-coreutils_6-12_O2,seq-coreutils_6-12_O2,34936,39016,full,0,78,0,no
expand-coreutils_6-12_O2,ptx-coreutils_7-6_O2,34936,129176,full,0,23,0,no
expand-coreutils_6-12_O2,factor-coreutils_7-6_O2,34936,47208,full,0,51,0,no
expand-coreutils_6-12_O2,join-coreutils_8-30_O2,34936,47304,full,0,60,0,no
expand-coreutils_6-12_O2,sort-coreutils_8-30_O2,34936,109008,full,0,15,0,no
expand-coreutils_6-12_O2,shred-coreutils_8-30_O2,34936,55496,full,0,33,0,no
expand-coreutils_6-12_O2,uniq-coreutils_8-30_O2,34936,43208,full,0,63,0,no
expand-coreutils_6-12_O2,pathchk-coreutils_6-12_O2,34936,34920,full,0,80,0,no
expand-coreutils_6-12_O2,kill-coreutils_7-6_O2,34936,31248,full,0,62,0,no
expand-coreutils_6-12_O2,mktemp-coreutils_6-12_O2,34936,43112,full,0,67,0,no
expand-coreutils_6-12_O2,rmdir-coreutils_7-6_O2,34936,39016,full,0,70,0,no
expand-coreutils_6-12_O2,b2sum-coreutils_8-30_O2,34936,55496,full,0,49,0,no
expand-coreutils_6-12_O2,sum-coreutils_7-6_O2,34936,34928,full,0,67,0,no
expand-coreutils_6-12_O2,kill-coreutils_6-12_O2,34936,35344,full,0,79,0,no
expand-coreutils_6-12_O2,env-coreutils_6-12_O2,34936,30824,full,0,68,0,no
expand-coreutils_6-12_O2,su-coreutils_6-12_O2,34936,39016,full,0,80,0,no
expand-coreutils_6-12_O2,users-coreutils_6-12_O2,34936,34920,full,0,80,0,no
expand-coreutils_6-12_O2,printenv-coreutils_8-30_O2,34936,30888,full,0,49,0,no
