file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
expand-coreutils_6-12_O2.text,du-coreutils_6-12_O2.text,18510,67086,text,0,23,0,no
expand-coreutils_6-12_O2.text,expand-coreutils_8-30_O2.text,18510,15566,text,0,68,0,yes
expand-coreutils_6-12_O2.text,id-coreutils_8-30_O2.text,18510,18654,text,0,74,0,no
expand-coreutils_6-12_O2.text,dd-coreutils_6-12_O2.text,18510,31742,text,0,45,0,no
expand-coreutils_6-12_O2.text,fmt-coreutils_6-12_O2.text,18510,22254,text,0,76,0,no
expand-coreutils_6-12_O2.text,fmt-coreutils_8-30_O2.text,18510,18798,text,0,78,0,no
expand-coreutils_6-12_O2.text,head-coreutils_6-12_O2.text,18510,23518,text,0,68,0,no
expand-coreutils_6-12_O2.text,env-coreutils_8-30_O2.text,18510,16558,text,0,73,0,no
expand-coreutils_6-12_O2.text,false-coreutils_7-6_O2.text,18510,9278,text,0,48,0,no
expand-coreutils_6-12_O2.text,getlimits-coreutils_8-30_O2.text,18510,16350,text,0,53,0,no
expand-coreutils_6-12_O2.text,fold-coreutils_7-6_O2.text,18510,11854,text,0,49,0,no
expand-coreutils_6-12_O2.text,ls-coreutils_6-12_O2.text,18510,64446,text,0,22,0,no
expand-coreutils_6-12_O2.text,echo-coreutils_6-12_O2.text,18510,17870,text,0,88,0,no
expand-coreutils_6-12_O2.text,id-coreutils_6-12_O2.text,18510,19390,text,0,81,0,no
expand-coreutils_6-12_O2.text,join-coreutils_7-6_O2.text,18510,18382,text,0,58,0,no
expand-coreutils_6-12_O2.text,df-coreutils_8-30_O2.text,18510,51262,text,0,34,0,no
expand-coreutils_6-12_O2.text,du-coreutils_8-30_O2.text,18510,60398,text,0,29,0,no
expand-coreutils_6-12_O2.text,factor-coreutils_7-6_O2.text,18510,25534,text,0,73,0,no
expand-coreutils_6-12_O2.text,join-coreutils_8-30_O2.text,18510,22494,text,0,69,0,no
expand-coreutils_6-12_O2.text,kill-coreutils_7-6_O2.text,18510,11806,text,0,42,0,no
expand-coreutils_6-12_O2.text,kill-coreutils_6-12_O2.text,18510,18766,text,0,90,0,no
expand-coreutils_6-12_O2.text,env-coreutils_6-12_O2.text,18510,16670,text,0,92,0,no
expand-coreutils_6-12_O2.text,echo-coreutils_7-6_O2.text,18510,10670,text,0,51,0,no
expand-coreutils_6-12_O2.text,ls-coreutils_7-6_O2.text,18510,60270,text,0,16,0,no
expand-coreutils_6-12_O2.text,dirname-coreutils_8-30_O2.text,18510,12766,text,0,48,0,no
expand-coreutils_6-12_O2.text,dirname-coreutils_6-12_O2.text,18510,17534,text,0,92,0,no
expand-coreutils_6-12_O2.text,dirname-coreutils_7-6_O2.text,18510,10126,text,0,52,0,no
expand-coreutils_6-12_O2.text,env-coreutils_7-6_O2.text,18510,9726,text,0,48,0,no
expand-coreutils_6-12_O2.text,fold-coreutils_8-30_O2.text,18510,15038,text,0,69,0,no
expand-coreutils_6-12_O2.text,fold-coreutils_6-12_O2.text,18510,18814,text,0,88,0,no
expand-coreutils_6-12_O2.text,dd-coreutils_7-6_O2.text,18510,25838,text,0,45,0,no
expand-coreutils_6-12_O2.text,dd-coreutils_8-30_O2.text,18510,42142,text,0,36,0,no
expand-coreutils_6-12_O2.text,false-coreutils_6-12_O2.text,18510,16254,text,0,87,0,no
expand-coreutils_6-12_O2.text,ls-coreutils_8-30_O2.text,18510,74174,text,0,8,0,no
expand-coreutils_6-12_O2.text,expr-coreutils_6-12_O2.text,18510,82110,text,0,19,0,no
expand-coreutils_6-12_O2.text,du-coreutils_7-6_O2.text,18510,63486,text,0,27,0,no
expand-coreutils_6-12_O2.text,dir-coreutils_6-12_O2.text,18510,64446,text,0,22,0,no
