file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
cut-coreutils_8-30_O2,chown-coreutils_8-29_O2,39112,63656,full,0,57,0,no
cut-coreutils_8-30_O2,base64-coreutils_8-30_O2,39112,39080,full,0,69,0,no
cut-coreutils_8-30_O2,cp-coreutils_8-30_O2,39112,125128,full,0,24,0,no
cut-coreutils_8-30_O2,csplit-coreutils_8-30_O2,39112,47304,full,0,63,0,no
cut-coreutils_8-30_O2,base32-coreutils_8-28_O2,39112,39080,full,0,73,0,no
cut-coreutils_8-30_O2,b2sum-coreutils_8-29_O2,39112,55496,full,0,53,0,no
cut-coreutils_8-30_O2,df-coreutils_8-28_O2,39112,84760,full,0,40,0,no
cut-coreutils_8-30_O2,basename-coreutils_8-28_O2,39112,30888,full,0,35,0,no
cut-coreutils_8-30_O2,cat-coreutils_8-29_O2,39112,35048,full,0,66,0,no
cut-coreutils_8-30_O2,comm-coreutils_8-29_O2,39112,39112,full,0,73,0,no
cut-coreutils_8-30_O2,chown-coreutils_8-30_O2,39112,63656,full,0,47,0,no
cut-coreutils_8-30_O2,csplit-coreutils_8-29_O2,39112,47304,full,0,67,0,no
cut-coreutils_8-30_O2,basename-coreutils_8-30_O2,39112,30888,full,0,49,0,no
cut-coreutils_8-30_O2,df-coreutils_8-30_O2,39112,84760,full,0,47,0,no
cut-coreutils_8-30_O2,basename-coreutils_8-29_O2,39112,30888,full,0,36,0,no
cut-coreutils_8-30_O2,b2sum-coreutils_8-30_O2,39112,55496,full,0,57,0,no
cut-coreutils_8-30_O2,cp-coreutils_8-28_O2,39112,125128,full,0,24,0,no
cut-coreutils_8-30_O2,cat-coreutils_8-28_O2,39112,35048,full,0,61,0,no
cut-coreutils_8-30_O2,dir-coreutils_8-29_O2,39112,133776,full,0,21,0,no
cut-coreutils_8-30_O2,dir-coreutils_8-28_O2,39112,133776,full,0,21,0,no
cut-coreutils_8-30_O2,chmod-coreutils_8-29_O2,39112,59592,full,0,57,0,no
