file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2.data,nice-coreutils_8-30_O2.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,cut-coreutils_8-30_O2.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,chmod-coreutils_8-30_O2_newBuild.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,expand-coreutils_8-30_O2.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,paste-coreutils_8-30_O2_newBuild.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,sum-coreutils_8-30_O2.data,168,136,data,0,0,0,no
mv-coreutils_8-30_O2.data,who-coreutils_8-30_O2.data,168,160,data,0,31,0,no
mv-coreutils_8-30_O2.data,printf-coreutils_8-30_O2.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,base64-coreutils_8-30_O2_newBuild.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,realpath-coreutils_8-30_O2.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,pinky-coreutils_8-30_O2.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,chcon-coreutils_8-30_O2_newBuild.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,id-coreutils_8-30_O2.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,base64-coreutils_8-30_O2.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,touch-coreutils_8-30_O2.data,168,160,data,0,44,0,no
mv-coreutils_8-30_O2.data,whoami-coreutils_8-30_O2_newBuild.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,runcon-coreutils_8-30_O2_newBuild.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,kill-coreutils_8-30_O2_newBuild.data,168,548,data,0,0,0,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_O2.data,168,160,data,0,76,0,no
mv-coreutils_8-30_O2.data,unexpand-coreutils_8-30_O2_newBuild.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,stdbuf-coreutils_8-30_O2_newBuild.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,hostid-coreutils_8-30_O2_newBuild.data,168,128,data,0,0,0,no
mv-coreutils_8-30_O2.data,sort-coreutils_8-30_O2_newBuild.data,168,424,data,0,0,0,no
mv-coreutils_8-30_O2.data,csplit-coreutils_8-30_O2.data,168,160,data,0,0,0,no
mv-coreutils_8-30_O2.data,stat-coreutils_8-30_O2_newBuild.data,168,160,data,0,54,0,no
mv-coreutils_8-30_O2.data,stat-coreutils_8-30_O2.data,168,160,data,0,54,0,no
mv-coreutils_8-30_O2.data,numfmt-coreutils_8-30_O2.data,168,192,data,0,57,0,no
