file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2,nice-coreutils_8-30_O2,121040,30888,full,0,0,0,no
mv-coreutils_8-30_O2,cut-coreutils_8-30_O2,121040,39112,full,0,21,0,no
mv-coreutils_8-30_O2,chmod-coreutils_8-30_O2_newBuild,121040,59592,full,0,42,0,no
mv-coreutils_8-30_O2,expand-coreutils_8-30_O2,121040,35016,full,0,15,0,no
mv-coreutils_8-30_O2,paste-coreutils_8-30_O2_newBuild,121040,35016,full,0,0,0,no
mv-coreutils_8-30_O2,sum-coreutils_8-30_O2,121040,39088,full,0,17,0,no
mv-coreutils_8-30_O2,who-coreutils_8-30_O2,121040,47304,full,0,35,0,no
mv-coreutils_8-30_O2,printf-coreutils_8-30_O2,121040,47272,full,0,36,0,no
mv-coreutils_8-30_O2,base64-coreutils_8-30_O2_newBuild,121040,39080,full,0,15,0,no
mv-coreutils_8-30_O2,realpath-coreutils_8-30_O2,121040,43208,full,0,16,0,no
mv-coreutils_8-30_O2,pinky-coreutils_8-30_O2,121040,35016,full,0,0,0,no
mv-coreutils_8-30_O2,chcon-coreutils_8-30_O2_newBuild,121040,63656,full,0,50,0,no
mv-coreutils_8-30_O2,id-coreutils_8-30_O2,121040,39112,full,0,23,0,no
mv-coreutils_8-30_O2,base64-coreutils_8-30_O2,121040,39080,full,0,15,0,no
mv-coreutils_8-30_O2,touch-coreutils_8-30_O2,121040,88264,full,0,56,0,no
mv-coreutils_8-30_O2,whoami-coreutils_8-30_O2_newBuild,121040,30888,full,0,0,0,no
mv-coreutils_8-30_O2,runcon-coreutils_8-30_O2_newBuild,121040,34984,full,0,6,0,no
mv-coreutils_8-30_O2,kill-coreutils_8-30_O2_newBuild,121040,35408,full,0,20,0,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_O2,121040,125128,full,0,90,0,no
mv-coreutils_8-30_O2,unexpand-coreutils_8-30_O2_newBuild,121040,35016,full,0,3,0,no
mv-coreutils_8-30_O2,stdbuf-coreutils_8-30_O2_newBuild,121040,47272,full,0,20,0,no
mv-coreutils_8-30_O2,hostid-coreutils_8-30_O2_newBuild,121040,30888,full,0,0,0,no
mv-coreutils_8-30_O2,sort-coreutils_8-30_O2_newBuild,121040,109008,full,0,80,0,no
mv-coreutils_8-30_O2,csplit-coreutils_8-30_O2,121040,47304,full,0,32,0,no
mv-coreutils_8-30_O2,stat-coreutils_8-30_O2_newBuild,121040,80072,full,0,55,0,no
mv-coreutils_8-30_O2,stat-coreutils_8-30_O2,121040,80072,full,0,55,0,no
mv-coreutils_8-30_O2,numfmt-coreutils_8-30_O2,121040,59624,full,0,46,0,no
mv-coreutils_8-30_O2,mknod-coreutils_8-30_O2_newBuild,121040,63656,full,0,53,0,no
mv-coreutils_8-30_O2,fmt-coreutils_8-30_O2,121040,39080,full,0,14,0,no
mv-coreutils_8-30_O2,sleep-coreutils_8-30_O2_newBuild,121040,30888,full,0,0,0,no
mv-coreutils_8-30_O2,sha224sum-coreutils_8-30_O2_newBuild,121040,51400,full,0,23,0,no
mv-coreutils_8-30_O2,chown-coreutils_8-30_O2_newBuild,121040,63656,full,0,39,0,no
