file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2.text,nice-coreutils_8-30_O2.text,77838,14670,text,0,7,0,no
mv-coreutils_8-30_O2.text,cut-coreutils_8-30_O2.text,77838,19038,text,0,16,0,no
mv-coreutils_8-30_O2.text,chmod-coreutils_8-30_O2_newBuild.text,77838,32654,text,0,45,0,no
mv-coreutils_8-30_O2.text,expand-coreutils_8-30_O2.text,77838,15566,text,0,8,0,no
mv-coreutils_8-30_O2.text,paste-coreutils_8-30_O2_newBuild.text,77838,15166,text,0,5,0,no
mv-coreutils_8-30_O2.text,sum-coreutils_8-30_O2.text,77838,18974,text,0,14,0,no
mv-coreutils_8-30_O2.text,who-coreutils_8-30_O2.text,77838,26718,text,0,37,0,no
mv-coreutils_8-30_O2.text,printf-coreutils_8-30_O2.text,77838,27438,text,0,39,0,no
mv-coreutils_8-30_O2.text,base64-coreutils_8-30_O2_newBuild.text,77838,17342,text,0,6,0,no
mv-coreutils_8-30_O2.text,realpath-coreutils_8-30_O2.text,77838,22366,text,0,29,0,no
mv-coreutils_8-30_O2.text,pinky-coreutils_8-30_O2.text,77838,16750,text,0,15,0,no
mv-coreutils_8-30_O2.text,chcon-coreutils_8-30_O2_newBuild.text,77838,34702,text,0,54,0,no
mv-coreutils_8-30_O2.text,id-coreutils_8-30_O2.text,77838,18654,text,0,13,0,no
mv-coreutils_8-30_O2.text,base64-coreutils_8-30_O2.text,77838,17342,text,0,6,0,no
mv-coreutils_8-30_O2.text,touch-coreutils_8-30_O2.text,77838,51726,text,0,67,0,no
mv-coreutils_8-30_O2.text,whoami-coreutils_8-30_O2_newBuild.text,77838,12510,text,0,1,0,no
mv-coreutils_8-30_O2.text,runcon-coreutils_8-30_O2_newBuild.text,77838,14142,text,0,0,0,no
mv-coreutils_8-30_O2.text,kill-coreutils_8-30_O2_newBuild.text,77838,14638,text,0,10,0,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_O2.text,77838,77358,text,0,96,0,no
mv-coreutils_8-30_O2.text,unexpand-coreutils_8-30_O2_newBuild.text,77838,15950,text,0,9,0,no
mv-coreutils_8-30_O2.text,stdbuf-coreutils_8-30_O2_newBuild.text,77838,24798,text,0,33,0,no
mv-coreutils_8-30_O2.text,hostid-coreutils_8-30_O2_newBuild.text,77838,12414,text,0,0,0,no
mv-coreutils_8-30_O2.text,sort-coreutils_8-30_O2_newBuild.text,77838,66766,text,0,81,0,no
mv-coreutils_8-30_O2.text,csplit-coreutils_8-30_O2.text,77838,23710,text,0,28,0,no
mv-coreutils_8-30_O2.text,stat-coreutils_8-30_O2_newBuild.text,77838,46766,text,0,56,0,no
mv-coreutils_8-30_O2.text,stat-coreutils_8-30_O2.text,77838,46766,text,0,56,0,no
mv-coreutils_8-30_O2.text,numfmt-coreutils_8-30_O2.text,77838,30478,text,0,38,0,no
mv-coreutils_8-30_O2.text,mknod-coreutils_8-30_O2_newBuild.text,77838,37038,text,0,51,0,no
mv-coreutils_8-30_O2.text,fmt-coreutils_8-30_O2.text,77838,18798,text,0,20,0,no
mv-coreutils_8-30_O2.text,sleep-coreutils_8-30_O2_newBuild.text,77838,13678,text,0,2,0,no
mv-coreutils_8-30_O2.text,sha224sum-coreutils_8-30_O2_newBuild.text,77838,30526,text,0,21,0,no
mv-coreutils_8-30_O2.text,chown-coreutils_8-30_O2_newBuild.text,77838,35486,text,0,51,0,no
mv-coreutils_8-30_O2.text,fmt-coreutils_8-30_O2_newBuild.text,77838,18798,text,0,20,0,no
mv-coreutils_8-30_O2.text,sha1sum-coreutils_8-30_O2.text,77838,24318,text,0,10,0,no
mv-coreutils_8-30_O2.text,sync-coreutils_8-30_O2.text,77838,13166,text,0,0,0,no
mv-coreutils_8-30_O2.text,env-coreutils_8-30_O2.text,77838,16558,text,0,15,0,no
mv-coreutils_8-30_O2.text,fold-coreutils_8-30_O2_newBuild.text,77838,15038,text,0,8,0,no
mv-coreutils_8-30_O2.text,tail-coreutils_8-30_O2.text,77838,38046,text,0,53,0,no
mv-coreutils_8-30_O2.text,who-coreutils_8-30_O2_newBuild.text,77838,26718,text,0,37,0,no
mv-coreutils_8-30_O2.text,expr-coreutils_8-30_O2_newBuild.text,77838,21598,text,0,26,0,no
mv-coreutils_8-30_O2.text,comm-coreutils_8-30_O2_newBuild.text,77838,16734,text,0,9,0,no
mv-coreutils_8-30_O2.text,getlimits-coreutils_8-30_O2.text,77838,16350,text,0,0,0,no
mv-coreutils_8-30_O2.text,uname-coreutils_8-30_O2.text,77838,13038,text,0,2,0,no
mv-coreutils_8-30_O2.text,rmdir-coreutils_8-30_O2_newBuild.text,77838,21950,text,0,23,0,no
mv-coreutils_8-30_O2.text,ln-coreutils_8-30_O2_newBuild.text,77838,34654,text,0,50,0,no
mv-coreutils_8-30_O2.text,stty-coreutils_8-30_O2.text,77838,35262,text,0,49,0,no
mv-coreutils_8-30_O2.text,chown-coreutils_8-30_O2.text,77838,35486,text,0,51,0,no
mv-coreutils_8-30_O2.text,split-coreutils_8-30_O2.text,77838,26990,text,0,25,0,no
mv-coreutils_8-30_O2.text,yes-coreutils_8-30_O2_newBuild.text,77838,13006,text,0,0,0,no
mv-coreutils_8-30_O2.text,basename-coreutils_8-30_O2.text,77838,13038,text,0,0,0,no
mv-coreutils_8-30_O2.text,split-coreutils_8-30_O2_newBuild.text,77838,26990,text,0,25,0,no
mv-coreutils_8-30_O2.text,realpath-coreutils_8-30_O2_newBuild.text,77838,22366,text,0,29,0,no
mv-coreutils_8-30_O2.text,tr-coreutils_8-30_O2_newBuild.text,77838,22222,text,0,22,0,no
mv-coreutils_8-30_O2.text,wc-coreutils_8-30_O2.text,77838,20734,text,0,20,0,no
mv-coreutils_8-30_O2.text,tty-coreutils_8-30_O2_newBuild.text,77838,12254,text,0,0,0,no
mv-coreutils_8-30_O2.text,md5sum-coreutils_8-30_O2_newBuild.text,77838,21454,text,0,28,0,no
mv-coreutils_8-30_O2.text,nl-coreutils_8-30_O2_newBuild.text,77838,17598,text,0,11,0,no
mv-coreutils_8-30_O2.text,df-coreutils_8-30_O2.text,77838,51262,text,0,72,0,no
mv-coreutils_8-30_O2.text,du-coreutils_8-30_O2.text,77838,60398,text,0,75,0,no
mv-coreutils_8-30_O2.text,tr-coreutils_8-30_O2.text,77838,22222,text,0,22,0,no
mv-coreutils_8-30_O2.text,unexpand-coreutils_8-30_O2.text,77838,15950,text,0,9,0,no
mv-coreutils_8-30_O2.text,mkdir-coreutils_8-30_O2_newBuild.text,77838,47678,text,0,62,0,no
mv-coreutils_8-30_O2.text,ptx-coreutils_8-30_O2_newBuild.text,77838,43918,text,0,60,0,no
mv-coreutils_8-30_O2.text,libstdbuf.so-coreutils_8-30_O2_newBuild.text,77838,794,text,0,0,0,no
mv-coreutils_8-30_O2.text,join-coreutils_8-30_O2.text,77838,22494,text,0,29,0,no
mv-coreutils_8-30_O2.text,sort-coreutils_8-30_O2.text,77838,66766,text,0,81,0,no
mv-coreutils_8-30_O2.text,shred-coreutils_8-30_O2.text,77838,29406,text,0,45,0,no
mv-coreutils_8-30_O2.text,uniq-coreutils_8-30_O2.text,77838,19534,text,0,17,0,no
