file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2.data,cksum-coreutils_8-30_Ofast.data,168,128,data,0,,0,no
mv-coreutils_8-30_O2.data,cksum-coreutils_8-30_O3.data,168,128,data,0,,0,no
mv-coreutils_8-30_O2.data,du-coreutils_8-30_O0.data,168,184,data,0,70,0,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_O2.data,168,160,data,0,76,0,no
mv-coreutils_8-30_O2.data,mv-coreutils_8-30_O1.data,168,168,data,28,88,0,yes
mv-coreutils_8-30_O2.data,ls-coreutils_8-30_Os.data,168,744,data,0,15,0,no
mv-coreutils_8-30_O2.data,chmod-coreutils_8-30_O0.data,168,184,data,0,,0,no
mv-coreutils_8-30_O2.data,mv-coreutils_8-30_Ofast.data,168,168,data,26,71,0,yes
mv-coreutils_8-30_O2.data,echo-coreutils_8-30_Os.data,168,256,data,0,45,0,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_Os.data,168,288,data,0,38,0,no
mv-coreutils_8-30_O2.data,dir-coreutils_8-30_O3.data,168,616,data,0,35,0,no
mv-coreutils_8-30_O2.data,rmdir-coreutils_8-30_O0.data,168,152,data,0,,0,no
mv-coreutils_8-30_O2.data,mv-coreutils_8-30_O0.data,168,192,data,0,68,0,yes
mv-coreutils_8-30_O2.data,chown-coreutils_8-30_O2.data,168,128,data,0,,0,no
mv-coreutils_8-30_O2.data,dircolors-coreutils_8-30_Ofast.data,168,136,data,0,,0,no
mv-coreutils_8-30_O2.data,mkdir-coreutils_8-30_Os.data,168,256,data,0,50,0,no
mv-coreutils_8-30_O2.data,chmod-coreutils_8-30_Ofast.data,168,160,data,0,,0,no
mv-coreutils_8-30_O2.data,du-coreutils_8-30_O2.data,168,160,data,0,64,0,no
mv-coreutils_8-30_O2.data,chroot-coreutils_8-30_O0.data,168,176,data,0,48,0,no
mv-coreutils_8-30_O2.data,chmod-coreutils_8-30_Os.data,168,288,data,0,20,0,no
mv-coreutils_8-30_O2.data,cksum-coreutils_8-30_O0.data,168,152,data,0,,0,no
mv-coreutils_8-30_O2.data,du-coreutils_8-30_O1.data,168,160,data,0,56,0,no
mv-coreutils_8-30_O2.data,echo-coreutils_8-30_O0.data,168,152,data,0,,0,no
mv-coreutils_8-30_O2.data,rm-coreutils_8-30_Ofast.data,168,160,data,0,,0,no
mv-coreutils_8-30_O2.data,dir-coreutils_8-30_O0.data,168,704,data,0,35,0,no
mv-coreutils_8-30_O2.data,chown-coreutils_8-30_O0.data,168,176,data,0,54,0,no
mv-coreutils_8-30_O2.data,cksum-coreutils_8-30_O1.data,168,128,data,0,,0,no
mv-coreutils_8-30_O2.data,cksum-coreutils_8-30_Os.data,168,256,data,0,35,0,no
mv-coreutils_8-30_O2.data,mkdir-coreutils_8-30_O1.data,168,128,data,0,,0,no
mv-coreutils_8-30_O2.data,du-coreutils_8-30_O3.data,168,160,data,0,64,0,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_O3.data,168,160,data,0,67,0,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_O0.data,168,184,data,0,66,0,no
mv-coreutils_8-30_O2.data,chmod-coreutils_8-30_O2.data,168,160,data,0,,0,no
mv-coreutils_8-30_O2.data,cp-coreutils_8-30_O1.data,168,160,data,0,75,0,no
mv-coreutils_8-30_O2.data,ls-coreutils_8-30_O1.data,168,616,data,0,5,0,no
mv-coreutils_8-30_O2.data,ls-coreutils_8-30_O2.data,168,616,data,0,34,0,no
