file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2,cksum-coreutils_8-30_Ofast,121040,51368,full,0,36,0,no
mv-coreutils_8-30_O2,cksum-coreutils_8-30_O3,121040,51368,full,0,36,0,no
mv-coreutils_8-30_O2,du-coreutils_8-30_O0,121040,121056,full,0,26,0,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_O2,121040,125128,full,0,90,0,no
mv-coreutils_8-30_O2,mv-coreutils_8-30_O1,121040,121040,full,0,78,0,yes
mv-coreutils_8-30_O2,ls-coreutils_8-30_Os,121040,113424,full,0,63,0,no
mv-coreutils_8-30_O2,chmod-coreutils_8-30_O0,121040,67808,full,0,0,0,no
mv-coreutils_8-30_O2,mv-coreutils_8-30_Ofast,121040,153808,full,0,76,0,yes
mv-coreutils_8-30_O2,echo-coreutils_8-30_Os,121040,26920,full,0,2,0,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_Os,121040,108872,full,0,70,0,no
mv-coreutils_8-30_O2,dir-coreutils_8-30_O3,121040,162448,full,0,64,0,no
mv-coreutils_8-30_O2,rmdir-coreutils_8-30_O0,121040,55488,full,0,0,0,no
mv-coreutils_8-30_O2,mv-coreutils_8-30_O0,121040,149736,full,0,13,0,yes
mv-coreutils_8-30_O2,chown-coreutils_8-30_O2,121040,63656,full,0,39,0,no
mv-coreutils_8-30_O2,dircolors-coreutils_8-30_Ofast,121040,59568,full,0,42,0,no
mv-coreutils_8-30_O2,mkdir-coreutils_8-30_Os,121040,67880,full,0,46,0,no
mv-coreutils_8-30_O2,chmod-coreutils_8-30_Ofast,121040,75976,full,0,57,0,no
mv-coreutils_8-30_O2,du-coreutils_8-30_O2,121040,100552,full,0,63,0,no
mv-coreutils_8-30_O2,chroot-coreutils_8-30_O0,121040,43224,full,0,0,0,no
mv-coreutils_8-30_O2,chmod-coreutils_8-30_Os,121040,51528,full,0,25,0,no
mv-coreutils_8-30_O2,cksum-coreutils_8-30_O0,121040,35008,full,0,0,0,no
mv-coreutils_8-30_O2,du-coreutils_8-30_O1,121040,96456,full,0,29,0,no
mv-coreutils_8-30_O2,echo-coreutils_8-30_O0,121040,35008,full,0,0,0,no
mv-coreutils_8-30_O2,rm-coreutils_8-30_Ofast,121040,84168,full,0,63,0,no
mv-coreutils_8-30_O2,dir-coreutils_8-30_O0,121040,158440,full,0,31,0,no
mv-coreutils_8-30_O2,chown-coreutils_8-30_O0,121040,75992,full,0,1,0,no
mv-coreutils_8-30_O2,cksum-coreutils_8-30_O1,121040,30888,full,0,0,0,no
mv-coreutils_8-30_O2,cksum-coreutils_8-30_Os,121040,31016,full,0,0,0,no
mv-coreutils_8-30_O2,mkdir-coreutils_8-30_O1,121040,80040,full,0,46,0,no
mv-coreutils_8-30_O2,du-coreutils_8-30_O3,121040,125128,full,0,80,0,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_O3,121040,157896,full,0,71,0,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_O0,121040,153824,full,0,5,0,no
mv-coreutils_8-30_O2,chmod-coreutils_8-30_O2,121040,59592,full,0,42,0,no
mv-coreutils_8-30_O2,cp-coreutils_8-30_O1,121040,125128,full,0,76,0,no
mv-coreutils_8-30_O2,ls-coreutils_8-30_O1,121040,129680,full,0,52,0,no
mv-coreutils_8-30_O2,ls-coreutils_8-30_O2,121040,129680,full,0,78,0,no
mv-coreutils_8-30_O2,dircolors-coreutils_8-30_O3,121040,59568,full,0,42,0,no
mv-coreutils_8-30_O2,chroot-coreutils_8-30_Ofast,121040,55464,full,0,45,0,no
mv-coreutils_8-30_O2,rmdir-coreutils_8-30_Ofast,121040,59560,full,0,42,0,no
mv-coreutils_8-30_O2,dir-coreutils_8-30_Ofast,121040,162448,full,0,70,0,no
mv-coreutils_8-30_O2,mv-coreutils_8-30_O3,121040,153808,full,0,77,0,yes
mv-coreutils_8-30_O2,chroot-coreutils_8-30_O2,121040,39080,full,0,20,0,no
mv-coreutils_8-30_O2,rm-coreutils_8-30_O2,121040,63688,full,0,51,0,no
mv-coreutils_8-30_O2,ls-coreutils_8-30_O0,121040,158440,full,0,31,0,no
mv-coreutils_8-30_O2,ls-coreutils_8-30_O3,121040,162448,full,0,64,0,no
mv-coreutils_8-30_O2,echo-coreutils_8-30_O3,121040,47272,full,0,35,0,no
mv-coreutils_8-30_O2,chown-coreutils_8-30_Os,121040,55592,full,0,38,0,no
mv-coreutils_8-30_O2,dir-coreutils_8-30_O1,121040,129680,full,0,52,0,no
mv-coreutils_8-30_O2,ls-coreutils_8-30_Ofast,121040,162448,full,0,70,0,no
mv-coreutils_8-30_O2,mkdir-coreutils_8-30_O2,121040,75944,full,0,63,0,no
mv-coreutils_8-30_O2,echo-coreutils_8-30_Ofast,121040,47272,full,0,35,0,no
mv-coreutils_8-30_O2,dircolors-coreutils_8-30_O1,121040,43184,full,0,12,0,no
mv-coreutils_8-30_O2,rmdir-coreutils_8-30_O2,121040,43176,full,0,31,0,no
mv-coreutils_8-30_O2,rm-coreutils_8-30_O3,121040,84168,full,0,62,0,no
mv-coreutils_8-30_O2,rmdir-coreutils_8-30_Os,121040,35112,full,0,19,0,no
mv-coreutils_8-30_O2,du-coreutils_8-30_Os,121040,84296,full,0,43,0,no
mv-coreutils_8-30_O2,chown-coreutils_8-30_Ofast,121040,84136,full,0,57,0,no
mv-coreutils_8-30_O2,echo-coreutils_8-30_O1,121040,30888,full,0,0,0,no
mv-coreutils_8-30_O2,mkdir-coreutils_8-30_O0,121040,100544,full,0,14,0,no
mv-coreutils_8-30_O2,dircolors-coreutils_8-30_O0,121040,47304,full,0,0,0,no
mv-coreutils_8-30_O2,chroot-coreutils_8-30_O3,121040,55464,full,0,41,0,no
mv-coreutils_8-30_O2,rmdir-coreutils_8-30_O3,121040,59560,full,0,39,0,no
