file1,file2,file1_size,file2_size,section,ssdeep,tlsh,mvhash,truth
mv-coreutils_8-30_O2.text,cksum-coreutils_8-30_Ofast.text,77838,27358,text,0,29,0,no
mv-coreutils_8-30_O2.text,cksum-coreutils_8-30_O3.text,77838,27326,text,0,30,0,no
mv-coreutils_8-30_O2.text,du-coreutils_8-30_O0.text,77838,76965,text,0,19,0,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_O2.text,77838,77358,text,0,96,0,no
mv-coreutils_8-30_O2.text,mv-coreutils_8-30_O1.text,77838,76894,text,0,67,0,yes
mv-coreutils_8-30_O2.text,ls-coreutils_8-30_Os.text,77838,57077,text,0,37,0,no
mv-coreutils_8-30_O2.text,chmod-coreutils_8-30_O0.text,77838,41909,text,0,9,0,no
mv-coreutils_8-30_O2.text,mv-coreutils_8-30_Ofast.text,77838,106958,text,0,74,0,yes
mv-coreutils_8-30_O2.text,echo-coreutils_8-30_Os.text,77838,11182,text,0,0,0,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_Os.text,77838,61631,text,0,59,0,no
mv-coreutils_8-30_O2.text,dir-coreutils_8-30_O3.text,77838,102494,text,0,66,0,no
mv-coreutils_8-30_O2.text,rmdir-coreutils_8-30_O0.text,77838,34734,text,0,0,0,no
mv-coreutils_8-30_O2.text,mv-coreutils_8-30_O0.text,77838,104239,text,0,10,0,yes
mv-coreutils_8-30_O2.text,chown-coreutils_8-30_O2.text,77838,35486,text,0,51,0,no
mv-coreutils_8-30_O2.text,dircolors-coreutils_8-30_Ofast.text,77838,30766,text,0,34,0,no
mv-coreutils_8-30_O2.text,mkdir-coreutils_8-30_Os.text,77838,37493,text,0,22,0,no
mv-coreutils_8-30_O2.text,chmod-coreutils_8-30_Ofast.text,77838,50798,text,0,55,0,no
mv-coreutils_8-30_O2.text,du-coreutils_8-30_O2.text,77838,60398,text,0,75,0,no
mv-coreutils_8-30_O2.text,chroot-coreutils_8-30_O0.text,77838,21406,text,0,0,0,no
mv-coreutils_8-30_O2.text,chmod-coreutils_8-30_Os.text,77838,26181,text,0,20,0,no
mv-coreutils_8-30_O2.text,cksum-coreutils_8-30_O0.text,77838,16494,text,0,0,0,no
mv-coreutils_8-30_O2.text,du-coreutils_8-30_O1.text,77838,57150,text,0,56,0,no
mv-coreutils_8-30_O2.text,echo-coreutils_8-30_O0.text,77838,15662,text,0,0,0,no
mv-coreutils_8-30_O2.text,rm-coreutils_8-30_Ofast.text,77838,54462,text,0,66,0,no
mv-coreutils_8-30_O2.text,dir-coreutils_8-30_O0.text,77838,96421,text,0,9,0,no
mv-coreutils_8-30_O2.text,chown-coreutils_8-30_O0.text,77838,44805,text,0,0,0,no
mv-coreutils_8-30_O2.text,cksum-coreutils_8-30_O1.text,77838,13422,text,0,0,0,no
mv-coreutils_8-30_O2.text,cksum-coreutils_8-30_Os.text,77838,11358,text,0,0,0,no
mv-coreutils_8-30_O2.text,mkdir-coreutils_8-30_O1.text,77838,49694,text,0,47,0,no
mv-coreutils_8-30_O2.text,du-coreutils_8-30_O3.text,77838,82046,text,0,70,0,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_O3.text,77838,105262,text,0,62,0,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_O0.text,77838,104143,text,0,14,0,no
mv-coreutils_8-30_O2.text,chmod-coreutils_8-30_O2.text,77838,32654,text,0,45,0,no
mv-coreutils_8-30_O2.text,cp-coreutils_8-30_O1.text,77838,76990,text,0,62,0,no
mv-coreutils_8-30_O2.text,ls-coreutils_8-30_O1.text,77838,70462,text,0,67,0,no
mv-coreutils_8-30_O2.text,ls-coreutils_8-30_O2.text,77838,74174,text,0,80,0,no
mv-coreutils_8-30_O2.text,dircolors-coreutils_8-30_O3.text,77838,30734,text,0,34,0,no
mv-coreutils_8-30_O2.text,chroot-coreutils_8-30_Ofast.text,77838,32254,text,0,34,0,no
mv-coreutils_8-30_O2.text,rmdir-coreutils_8-30_Ofast.text,77838,35854,text,0,40,0,no
mv-coreutils_8-30_O2.text,dir-coreutils_8-30_Ofast.text,77838,102270,text,0,66,0,no
mv-coreutils_8-30_O2.text,mv-coreutils_8-30_O3.text,77838,107086,text,0,73,0,yes
mv-coreutils_8-30_O2.text,chroot-coreutils_8-30_O2.text,77838,17598,text,0,20,0,no
mv-coreutils_8-30_O2.text,rm-coreutils_8-30_O2.text,77838,35246,text,0,56,0,no
mv-coreutils_8-30_O2.text,ls-coreutils_8-30_O0.text,77838,96421,text,0,9,0,no
mv-coreutils_8-30_O2.text,ls-coreutils_8-30_O3.text,77838,102494,text,0,66,0,no
mv-coreutils_8-30_O2.text,echo-coreutils_8-30_O3.text,77838,27374,text,0,27,0,no
mv-coreutils_8-30_O2.text,chown-coreutils_8-30_Os.text,77838,28469,text,0,23,0,no
mv-coreutils_8-30_O2.text,dir-coreutils_8-30_O1.text,77838,70462,text,0,67,0,no
mv-coreutils_8-30_O2.text,ls-coreutils_8-30_Ofast.text,77838,102270,text,0,66,0,no
